"ID","UD","LD","VALUE","OBJECTID","PROJECT_CODE","SITE_ID","OBS_NO","HORIZON_NO","SAMPLE_NO","YEAR","LATITUDE","LONGITUDE","ZONE","EASTING","NORTHING"
"542153",0,5,0.7,542,"3MC",153,1,1,2,1993,-24.85371,151.1602,56,314106,7249986
"542153",15,20,1.5,542,"3MC",153,1,3,4,1993,-24.85371,151.1602,56,314106,7249986
"542153",20,30,2.2,542,"3MC",153,1,3,5,1993,-24.85371,151.1602,56,314106,7249986
"542153",40,50,4.3,542,"3MC",153,1,4,7,1993,-24.85371,151.1602,56,314106,7249986
"542153",50,60,4.5,542,"3MC",153,1,4,8,1993,-24.85371,151.1602,56,314106,7249986
"542153",70,80,5.8,542,"3MC",153,1,4,10,1993,-24.85371,151.1602,56,314106,7249986
"542153",80,90,6.7,542,"3MC",153,1,4,11,1993,-24.85371,151.1602,56,314106,7249986
"542153",100,110,6.4,542,"3MC",153,1,5,13,1993,-24.85371,151.1602,56,314106,7249986
"542153",110,120,7.1,542,"3MC",153,1,5,14,1993,-24.85371,151.1602,56,314106,7249986
"542172",0,5,0.9,542,"3MC",172,1,1,2,1993,-24.88628,151.16645,56,314786,7246386
"542172",10,20,1,542,"3MC",172,1,2,4,1993,-24.88628,151.16645,56,314786,7246386
"542172",20,30,2,542,"3MC",172,1,2,5,1993,-24.88628,151.16645,56,314786,7246386
"542172",50,60,4.5,542,"3MC",172,1,3,8,1993,-24.88628,151.16645,56,314786,7246386
"542172",70,80,8,542,"3MC",172,1,4,10,1993,-24.88628,151.16645,56,314786,7246386
"542172",80,90,11.2,542,"3MC",172,1,4,11,1993,-24.88628,151.16645,56,314786,7246386
"542172",100,110,11.5,542,"3MC",172,1,5,13,1993,-24.88628,151.16645,56,314786,7246386
"542172",110,120,13.8,542,"3MC",172,1,5,14,1993,-24.88628,151.16645,56,314786,7246386
"542187",0,10,1.6,542,"3MC",187,1,1,2,1993,-24.90817,151.14059,56,312206,7243926
"542187",20,30,5.7,542,"3MC",187,1,3,4,1993,-24.90817,151.14059,56,312206,7243926
"542187",50,60,10,542,"3MC",187,1,5,7,1993,-24.90817,151.14059,56,312206,7243926
"542187",80,90,15.8,542,"3MC",187,1,7,9,1993,-24.90817,151.14059,56,312206,7243926
"542219",0,10,15.1,542,"3MC",219,1,1,2,1993,-25.1683,151.12178,56,310706,7215086
"542219",20,25,11.3,542,"3MC",219,1,2,4,1993,-25.1683,151.12178,56,310706,7215086
"542219",25,30,13.7,542,"3MC",219,1,3,5,1993,-25.1683,151.12178,56,310706,7215086
"542219",50,60,25.6,542,"3MC",219,1,4,8,1993,-25.1683,151.12178,56,310706,7215086
"542219",80,90,33.3,542,"3MC",219,1,5,11,1993,-25.1683,151.12178,56,310706,7215086
"542219",110,120,41.7,542,"3MC",219,1,5,14,1993,-25.1683,151.12178,56,310706,7215086
"542225",0,10,1.9,542,"3MC",225,1,1,2,1993,-24.7546,151.03413,56,301206,7260786
"542225",20,30,0.6,542,"3MC",225,1,1,4,1993,-24.7546,151.03413,56,301206,7260786
"542225",50,60,0.8,542,"3MC",225,1,3,7,1993,-24.7546,151.03413,56,301206,7260786
"542225",80,90,1,542,"3MC",225,1,4,10,1993,-24.7546,151.03413,56,301206,7260786
"542225",110,120,1,542,"3MC",225,1,6,13,1993,-24.7546,151.03413,56,301206,7260786
"542231",0,10,1,542,"3MC",231,1,1,2,1993,-24.74348,151.15392,56,313306,7262186
"542231",22,30,2.6,542,"3MC",231,1,3,4,1993,-24.74348,151.15392,56,313306,7262186
"542231",50,60,4,542,"3MC",231,1,4,7,1993,-24.74348,151.15392,56,313306,7262186
