"","AN","CA","CH","DE","FE","HY","KA","KU","N/A","OR","PO","RU","SO","TE","VE"
"AN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",0,28,2,42,1,0,0,0,3338,0,0,0,9,1,156
"CH",0,1,188,24,1,6,10,12,6570,0,1,1,164,6,1
"DE",0,2,228,651,44,79,12,26,28968,0,1,3,280,7,387
"FE",0,0,0,3,12,0,0,0,43,0,0,0,0,0,0
"HY",0,3,16,54,2,510,10,7,6789,0,8,5,79,9,103
"KA",0,1,109,29,0,66,217,7,7075,0,7,4,19,50,3
"KU",1,0,3,2,0,6,0,10,910,0,1,1,2,1,0
"N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR",0,0,0,0,0,6,0,0,94,5,0,0,0,0,0
"PO",0,0,0,0,0,0,0,0,103,0,19,1,0,1,0
"RU",6,4,48,57,4,49,76,5,26406,0,22,176,49,418,103
"SO",0,0,6,2,0,0,1,0,50,0,0,0,46,1,0
"TE",0,0,0,1,0,0,0,2,2099,0,0,11,2,6,8
"VE",0,2,1,31,1,3,1,0,6627,0,0,0,4,0,470
